Gregorian_date,lunar_date,hour,light.dark,study_time,colony_id,tank_id,system,RO,total_RO,per.release,prop.release
2022-3-3,2022-1-31,4,dark,34,RAS_colony14,RAS_tank2,RAS,2,58,3.448275862,0.034482759
2022-3-3,2022-1-31,5,dark,35,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,6,dark,36,RAS_colony14,RAS_tank2,RAS,6,58,10.34482759,0.103448276
2022-3-3,2022-1-31,7,light,37,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,8,light,38,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,9,light,39,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,10,light,40,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,11,light,41,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,12,light,42,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,13,light,43,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,14,light,44,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,15,light,45,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,16,light,46,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,17,light,47,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,18,light,48,RAS_colony14,RAS_tank2,RAS,1,58,1.724137931,0.017241379
2022-3-1,2022-1-29,19,dark,1,RAS_colony3,RAS_tank2,RAS,101,506,19.96047431,0.199604743
2022-3-1,2022-1-29,20,dark,2,RAS_colony3,RAS_tank2,RAS,22,506,4.347826087,0.043478261
2022-3-1,2022-1-29,21,dark,3,RAS_colony3,RAS_tank2,RAS,10,506,1.976284585,0.019762846
2022-3-1,2022-1-29,22,dark,4,RAS_colony3,RAS_tank2,RAS,22,506,4.347826087,0.043478261
2022-3-1,2022-1-29,23,dark,5,RAS_colony3,RAS_tank2,RAS,16,506,3.162055336,0.031620553
2022-3-2,2022-1-30,00,dark,6,RAS_colony3,RAS_tank2,RAS,15,506,2.964426877,0.029644269
2022-3-2,2022-1-30,1,dark,7,RAS_colony3,RAS_tank2,RAS,33,506,6.52173913,0.065217391
2022-3-2,2022-1-30,2,dark,8,RAS_colony3,RAS_tank2,RAS,39,506,7.707509881,0.077075099
2022-3-2,2022-1-30,3,dark,9,RAS_colony3,RAS_tank2,RAS,54,506,10.67193676,0.106719368
2022-3-2,2022-1-30,4,dark,10,RAS_colony3,RAS_tank2,RAS,64,506,12.64822134,0.126482213
2022-3-2,2022-1-30,5,dark,11,RAS_colony3,RAS_tank2,RAS,39,506,7.707509881,0.077075099
2022-3-2,2022-1-30,6,dark,12,RAS_colony3,RAS_tank2,RAS,13,506,2.56916996,0.0256917
2022-3-2,2022-1-30,7,light,13,RAS_colony3,RAS_tank2,RAS,15,506,2.964426877,0.029644269
2022-3-2,2022-1-30,8,light,14,RAS_colony3,RAS_tank2,RAS,3,506,0.592885375,0.005928854
2022-3-2,2022-1-30,9,light,15,RAS_colony3,RAS_tank2,RAS,1,506,0.197628458,0.001976285
2022-3-2,2022-1-30,10,light,16,RAS_colony3,RAS_tank2,RAS,2,506,0.395256917,0.003952569
2022-3-2,2022-1-30,11,light,17,RAS_colony3,RAS_tank2,RAS,2,506,0.395256917,0.003952569
2022-3-2,2022-1-30,12,light,18,RAS_colony3,RAS_tank2,RAS,0,506,0,0
