Gregorian_date,lunar_day,number_lunar_days,lunar_month,Gregorian_month,season,mean_daily_temp,system,tank_id,colony_id,RO_<5 included,RT_angle_ALL,RO,RT_remove_NA,RT_angle
2021-03-24,12,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,144,NA,0,NA
2021-03-25,13,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,156,NA,0,NA
2021-03-26,14,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,168,NA,0,NA
2021-03-27,15,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,180,NA,0,NA
2021-03-28,16,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,192,NA,0,NA
2021-03-29,17,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,204,NA,0,NA
2021-03-30,18,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,216,NA,0,NA
2021-03-31,19,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,228,NA,0,NA
2021-04-01,20,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,240,NA,0,NA
2021-04-02,21,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,252,NA,0,NA
2021-04-03,22,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,264,NA,0,NA
2021-04-04,23,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,276,NA,0,NA
2021-04-05,24,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,288,NA,0,NA
2021-04-06,25,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,300,NA,0,NA
2021-04-07,26,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,312,NA,0,NA
2021-04-08,27,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,324,NA,0,NA
2021-04-09,28,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,336,NA,0,NA
2021-04-10,29,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,348,NA,0,NA
2021-04-11,30,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,360,NA,0,NA
2021-04-12,1,30,Mar_2021,Apr_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,12,NA,0,NA
2021-04-13,2,30,Mar_2021,Apr_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,24,NA,0,NA
2021-04-14,3,30,Mar_2021,Apr_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,36,NA,0,NA
2021-04-15,4,30,Mar_2021,Apr_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,48,NA,0,NA
2021-04-16,5,30,Mar_2021,Apr_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,60,NA,0,NA
2021-04-17,6,30,Mar_2021,Apr_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,72,NA,0,NA
2021-04-18,7,30,Mar_2021,Apr_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,84,NA,0,NA
2021-04-19,8,30,Mar_2021,Apr_2021,spring,27.97422667,RAS,RAS_tank3,RAS_colony13,NA,96,NA,0,NA
2021-04-20,9,30,Mar_2021,Apr_2021,spring,28.2965,RAS,RAS_tank3,RAS_colony13,NA,108,NA,0,NA
2021-04-21,10,30,Mar_2021,Apr_2021,spring,28.29925,RAS,RAS_tank3,RAS_colony13,NA,120,NA,0,NA
2021-04-22,11,30,Mar_2021,Apr_2021,spring,28.297875,RAS,RAS_tank3,RAS_colony13,NA,132,NA,0,NA
2021-04-23,12,30,Mar_2021,Apr_2021,spring,28.311625,RAS,RAS_tank3,RAS_colony13,NA,144,NA,0,NA
2021-04-24,13,30,Mar_2021,Apr_2021,spring,28.2965,RAS,RAS_tank3,RAS_colony13,NA,156,NA,0,NA
2021-04-25,14,30,Mar_2021,Apr_2021,spring,28.2965,RAS,RAS_tank3,RAS_colony13,NA,168,NA,0,NA
2021-04-26,15,30,Mar_2021,Apr_2021,spring,28.306125,RAS,RAS_tank3,RAS_colony13,NA,180,NA,0,NA
2021-04-27,16,30,Mar_2021,Apr_2021,spring,28.2999375,RAS,RAS_tank3,RAS_colony13,NA,192,NA,0,NA
2021-04-28,17,30,Mar_2021,Apr_2021,spring,28.306125,RAS,RAS_tank3,RAS_colony13,NA,204,NA,0,NA
2021-04-29,18,30,Mar_2021,Apr_2021,spring,28.3109375,RAS,RAS_tank3,RAS_colony13,NA,216,NA,0,NA
2021-04-30,19,30,Mar_2021,Apr_2021,spring,28.3081875,RAS,RAS_tank3,RAS_colony13,NA,228,NA,0,NA
2021-05-01,20,30,Mar_2021,Apr_2021,spring,28.311625,RAS,RAS_tank3,RAS_colony13,NA,240,NA,0,NA
2021-05-02,21,30,Mar_2021,Apr_2021,spring,28.313,RAS,RAS_tank3,RAS_colony13,NA,252,NA,0,NA
2021-05-03,22,30,Mar_2021,Apr_2021,spring,28.3178125,RAS,RAS_tank3,RAS_colony13,NA,264,NA,0,NA
2021-05-04,23,30,Mar_2021,Apr_2021,spring,28.2985625,RAS,RAS_tank3,RAS_colony13,NA,276,NA,0,NA
2021-05-05,24,30,Mar_2021,Apr_2021,spring,28.3095625,RAS,RAS_tank3,RAS_colony13,NA,288,NA,0,NA
2021-05-06,25,30,Mar_2021,Apr_2021,spring,28.2965,RAS,RAS_tank3,RAS_colony13,NA,300,NA,0,NA
2021-05-07,26,30,Mar_2021,Apr_2021,spring,28.29375,RAS,RAS_tank3,RAS_colony13,NA,312,NA,0,NA
2021-05-08,27,30,Mar_2021,Apr_2021,spring,28.2944375,RAS,RAS_tank3,RAS_colony13,NA,324,NA,0,NA
2021-05-09,28,30,Mar_2021,Apr_2021,spring,28.29925,RAS,RAS_tank3,RAS_colony13,NA,336,NA,0,NA
2021-05-10,29,30,Mar_2021,Apr_2021,spring,28.302,RAS,RAS_tank3,RAS_colony13,NA,348,NA,0,NA
2021-05-11,30,30,Mar_2021,Apr_2021,spring,28.286875,RAS,RAS_tank3,RAS_colony13,NA,360,NA,0,NA
2021-05-12,1,29,Apr_2021,May_2021,spring,28.30613,RAS,RAS_tank3,RAS_colony13,NA,12.4137931,NA,0,NA
2021-05-13,2,29,Apr_2021,May_2021,spring,28.34669,RAS,RAS_tank3,RAS_colony13,NA,24.82758621,NA,0,NA
2021-05-14,3,29,Apr_2021,May_2021,spring,28.32194,RAS,RAS_tank3,RAS_colony13,NA,37.24137931,NA,0,NA
2021-05-15,4,29,Apr_2021,May_2021,spring,28.3515,RAS,RAS_tank3,RAS_colony13,NA,49.65517241,NA,0,NA
2021-05-16,5,29,Apr_2021,May_2021,spring,28.53828,RAS,RAS_tank3,RAS_colony13,NA,62.06896552,NA,0,NA
2021-05-17,6,29,Apr_2021,May_2021,spring,28.5071,RAS,RAS_tank3,RAS_colony13,NA,74.48275862,NA,0,NA
2021-05-18,7,29,Apr_2021,May_2021,spring,28.46169,RAS,RAS_tank3,RAS_colony13,NA,86.89655172,NA,0,NA
2021-05-19,8,29,Apr_2021,May_2021,spring,28.57619,RAS,RAS_tank3,RAS_colony13,NA,99.31034483,NA,0,NA
2021-05-20,9,29,Apr_2021,May_2021,spring,28.54365,RAS,RAS_tank3,RAS_colony13,NA,111.7241379,NA,0,NA
2021-05-21,10,29,Apr_2021,May_2021,spring,28.44179,RAS,RAS_tank3,RAS_colony13,NA,124.137931,NA,0,NA
2021-05-22,11,29,Apr_2021,May_2021,spring,28.4356,RAS,RAS_tank3,RAS_colony13,NA,136.5517241,NA,0,NA
2021-05-23,12,29,Apr_2021,May_2021,spring,28.56997,RAS,RAS_tank3,RAS_colony13,NA,148.9655172,NA,0,NA
2021-05-24,13,29,Apr_2021,May_2021,spring,28.38931,RAS,RAS_tank3,RAS_colony13,NA,161.3793103,NA,0,NA
2021-05-25,14,29,Apr_2021,May_2021,spring,28.33294,RAS,RAS_tank3,RAS_colony13,NA,173.7931034,NA,0,NA
2021-05-26,15,29,Apr_2021,May_2021,spring,28.32812,RAS,RAS_tank3,RAS_colony13,NA,186.2068966,NA,0,NA
